# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1235143119
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_full_soccr_study1_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-26.8282,0.996797,0.553188,3,7,0,27.9258,-0.778557,-0.370907,-3.63583,-2.97336,0.0458246,1.2443
-27.3118,0.957478,0.553188,2,3,0,27.4693,-0.612453,-0.261676,0.21578,-3.34756,0.955005,6.35228
-26.9363,0.997718,0.553188,2,3,0,27.3755,-0.643495,-0.410203,-0.970061,-5.18642,1.43349,-1.62333
-26.9835,0.93879,0.553188,1,3,0,27.6973,-0.873293,-0.329537,-2.52827,4.19443,-1.02973,4.01361
-29.7804,0.806373,0.553188,2,7,0,30.6932,-1.70581,-0.422879,1.90064,6.85639,-6.45936,6.56616
-28.9034,1,0.553188,3,7,0,30.409,-1.63029,-0.602924,-3.38681,6.92253,-4.1007,-1.34453
-27.8922,0.971074,0.553188,1,3,0,29.5274,-1.29046,-0.60272,-4.66621,-1.41503,-1.82986,-5.06729
-29.0226,0.973398,0.553188,2,7,0,29.0317,-1.63761,-0.645245,-0.273144,0.51192,-3.66278,-2.94024
-28.6188,0.974518,0.553188,3,7,0,30.1008,-1.56709,-0.578205,-4.45905,-1.00873,-3.96181,-1.05862
-28.0407,1,0.553188,2,3,0,28.7041,-1.29072,-0.629088,2.96747,0.98311,-1.55458,-6.15426
-29.0298,0.826816,0.553188,2,3,0,30.3089,-1.5025,-0.353302,-4.15377,-0.612413,-5.72079,7.61087
-29.4111,0.947449,0.553188,1,1,0,29.5903,-1.51272,-0.315312,-1.55789,0.0680123,-6.08507,9.27808
-29.1846,1,0.553188,3,7,0,29.585,-0.293643,-0.577325,-1.48129,-4.16483,4.93421,-11.2081
-27.7678,0.998491,0.553188,2,3,0,29.4974,-0.347052,-0.420038,-2.97089,8.85563,4.00488,-3.51508
-27.1806,1,0.553188,2,3,0,27.8309,-0.518362,-0.325316,-2.70573,2.82536,2.10683,2.3166
-27.0826,0.850731,0.553188,3,7,0,30.3345,-0.541826,-0.361281,-6.61124,-1.33956,2.05658,0.431705
-26.9085,0.879984,0.553188,3,7,0,28.7808,-0.898315,-0.464131,-4.06895,6.87569,-0.26317,-2.5443
-26.9959,0.996604,0.553188,2,7,0,27.1038,-0.609072,-0.338525,-0.282736,-2.72426,1.34338,2.00518
-27.6064,0.897343,0.553188,2,3,0,28.157,-0.532496,-0.507984,2.60719,-1.88301,2.87959,-7.07821
-27.0332,1,0.553188,2,3,0,27.6546,-0.603022,-0.424584,1.79506,-5.28191,1.85567,-2.59284
-28.01,0.963766,0.553188,2,7,0,28.1325,-1.41401,-0.493458,1.16728,1.2631,-3.81821,0.842117
-28.6079,0.930136,0.553188,2,7,0,31.7848,-0.350078,-0.173924,-6.01744,-6.05117,3.29787,10.8906
-28.4961,1,0.553188,1,1,0,28.7308,-0.372892,-0.177556,1.12797,3.19961,3.06838,10.7045
-28.5541,0.99176,0.553188,1,1,0,28.7114,-0.384949,-0.168986,0.957076,2.55374,2.92657,11.2704
-29.3304,0.971972,0.553188,2,3,0,29.4252,-0.232253,-0.15109,0.623185,-2.19387,4.505,12.1863
-28.6663,0.959956,0.553188,2,7,0,31.3586,-1.58114,-0.563886,2.86259,12.323,-4.21266,-0.323677
-28.5484,0.988341,0.553188,3,7,0,29.2285,-1.1941,-0.701797,3.03393,-0.183676,-0.172683,-10.0559
-27.87,0.924759,0.553188,3,7,0,30.1295,-0.345234,-0.269377,-4.78983,6.41471,3.56198,4.97366
-28.0799,0.978244,0.553188,1,1,0,28.1155,-0.298949,-0.262574,0.540471,1.01077,4.00251,5.27182
-28.4834,0.985813,0.553188,2,3,0,28.5141,-0.209167,-0.261776,-0.255123,-1.37162,4.89594,5.14854
-26.9966,0.991574,0.553188,2,3,0,28.8842,-0.68907,-0.456567,-4.94734,-2.41905,1.34209,-3.67864
-27.5077,0.960841,0.553188,2,3,0,27.6391,-0.4615,-0.455739,-0.296857,3.014,3.1869,-4.8904
-26.8359,0.92708,0.553188,1,3,0,28.5375,-0.81146,-0.367896,-4.21399,5.33003,-0.253317,1.61397
-27.5267,0.940914,0.553188,2,3,0,27.6414,-0.855402,-0.577192,-1.08808,1.40878,0.959388,-8.04179
-26.9699,1,0.553188,3,7,0,27.5188,-0.818518,-0.321826,0.0651863,6.31769,-0.605182,4.07831
-26.9992,0.996357,0.553188,3,7,0,27.1713,-0.703006,-0.46207,-1.20175,-2.18226,1.266,-3.85801
-27.1039,0.952452,0.553188,3,7,0,27.7837,-0.762813,-0.500115,1.9041,-5.47547,1.05819,-5.26952
-27.9765,0.931232,0.553188,2,3,0,28.1881,-0.460388,-0.526104,-0.0396194,-3.92295,3.51953,-8.28098
-26.9924,0.985202,0.553188,2,3,0,28.287,-0.607931,-0.410106,2.28564,-8.13159,1.73356,-1.82072
-27.1218,0.982038,0.553188,2,7,0,27.6109,-1.09122,-0.478815,2.52746,1.12781,-1.61668,-1.60304
-26.9457,0.997272,0.553188,2,7,0,27.2838,-0.681839,-0.329461,2.01587,1.66412,0.64429,2.88118
-27.8808,0.799811,0.553188,1,3,0,29.1854,-0.378596,-0.470157,-2.62728,7.60523,3.92233,-5.95402
-26.987,0.978575,0.553188,3,7,0,28.4993,-1.00816,-0.393436,1.19774,-10.1155,-1.69043,1.74379
-28.1652,0.903363,0.553188,2,7,0,29.0773,-1.39086,-0.400868,3.43093,1.76748,-4.5335,4.62317
-26.8127,0.900258,0.553188,2,5,0,30.723,-0.796627,-0.38878,-7.27158,-0.673262,0.0100616,0.439666
-26.8157,0.999192,0.553188,2,3,0,26.8224,-0.795997,-0.383487,-0.0667653,0.678965,-0.0198567,0.707146
-26.8641,0.996974,0.553188,2,7,0,26.9036,-0.895107,-0.442974,-0.424244,-1.38118,-0.402739,-1.55176
-26.9241,0.992038,0.553188,2,5,0,27.1142,-0.660339,-0.34561,1.11159,2.68147,0.923018,1.8871
-27.4517,0.947106,0.553188,3,7,0,27.7933,-1.24274,-0.474285,-0.549715,4.81958,-2.78188,0.00261564
-29.2775,0.813475,0.553188,2,5,0,30.3987,-1.04448,-0.133286,-3.428,-4.29493,-3.49671,15.2323
