# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=133243476
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_interaction_soccr_study1_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,z_beta.3,p_gamma.1,p_z_beta.1,p_z_beta.2,p_z_beta.3,g_gamma.1,g_z_beta.1,g_z_beta.2,g_z_beta.3
-33.3838,0.930334,0.152035,4,15,0,34.5597,-0.852624,0.881093,0.181098,-1.49342,-3.23917,-0.938797,1.76359,-0.367898,1.26286,-8.28909,15.727,-10.6715
-32.6758,0.984168,0.152035,3,7,0,33.7925,-0.779175,1.11663,0.100646,-1.28515,0.75822,-0.775838,-7.99338,-0.0841596,-0.853633,13.5375,8.50565,10.6067
-33.3334,0.974218,0.152035,3,7,0,33.9973,-0.83352,1.35875,0.0355541,-1.51183,0.53818,0.285458,6.46509,0.0927719,-1.25677,16.0565,3.67352,12.2181
-31.8448,1,0.152035,2,3,0,33.2327,-0.804516,1.26182,0.0280531,-1.53331,-1.10618,2.3878,2.03448,0.804938,-0.465514,9.48462,4.91419,5.84803
-35.8757,0.917448,0.152035,4,15,0,36.5899,-1.28333,1.82962,0.0903825,-2.08636,2.10377,-0.110862,1.93452,1.15599,-4.42575,13.347,6.81477,8.68227
-34.0352,1,0.152035,4,15,0,36.1688,-1.09758,1.73294,-0.0508939,-2.01902,-1.55976,0.426443,8.19148,-2.12537,-2.46934,12.9197,-0.091578,7.93966
-28.1162,1,0.152035,5,31,0,36.1067,-1.00989,-1.01489,-0.271297,0.442818,-3.11376,-5.20566,-8.75283,2.02817,-0.471214,-4.57852,0.529716,-3.42406
-32.5846,0.778159,0.152035,3,9,0,33.54,-1.53293,-0.961085,-0.113367,0.755149,-2.5336,-0.0538846,5.03306,0.186862,-6.88659,13.4336,5.47425,15.132
-33.0683,0.852399,0.152035,3,15,0,37.5883,-1.61513,-1.09185,-0.0113249,0.805811,0.411607,3.35053,-9.99028,2.11341,-6.8674,10.3949,9.61219,12.5087
-28.8875,0.958991,0.152035,3,11,0,34.1928,-1.36053,-0.992572,-0.23421,0.531957,-2.49303,-3.33366,12.2416,-1.4295,-3.84797,2.45803,1.25031,3.75229
-30.5107,0.975795,0.152035,4,31,0,31.7027,-1.62628,-1.33146,-0.441107,0.570603,-3.26018,-0.153468,2.29702,0.910046,-2.75438,-5.01761,-2.95639,-3.3488
-32.3329,0.998556,0.152035,5,31,0,34.0121,-2.13433,-1.02722,-0.391123,0.368399,2.96703,-0.849395,-3.48981,1.71433,-6.46102,3.03702,-1.80001,4.22336
-34.669,0.963576,0.152035,4,15,0,35.4882,-2.37631,-1.24798,-0.21012,0.162744,0.277407,-0.0863361,7.11088,-0.553068,-3.01331,-8.75119,4.77659,-7.26103
-29.2817,0.971042,0.152035,3,11,0,35.9476,-1.55647,-0.620651,-0.39585,-0.032548,-7.32602,0.414705,5.22594,2.71635,-3.13204,-0.961283,-3.67344,-0.828948
-28.5497,0.998263,0.152035,4,31,0,29.7365,-1.4038,-0.293313,-0.271079,-0.245609,-2.46664,-0.682965,-5.48242,0.746137,-3.24661,1.48269,-1.0408,1.06052
-27.9591,0.982098,0.152035,5,31,0,29.1163,-0.717493,-0.852316,-0.310946,0.452532,-2.94035,1.1665,-2.91767,-0.0477644,0.741375,2.15608,-3.8178,2.7196
-28.917,0.997385,0.152035,4,15,0,29.1009,-0.341599,-0.736788,-0.334535,0.33168,-0.765389,-0.741578,-1.33567,0.0213479,3.99189,1.44626,-5.91056,1.43564
-27.7219,0.916413,0.152035,4,27,0,30.257,-0.809994,-0.284282,-0.233971,-0.222515,-3.40715,-0.211125,5.24983,-2.35056,0.755784,-2.03084,-0.641507,-2.61085
-27.904,0.995478,0.152035,4,31,0,28.0648,-0.856495,-0.72061,-0.158545,0.354918,-0.047576,-0.78853,-0.605919,0.430012,-0.724384,2.88063,2.94772,3.68129
-27.9268,0.986519,0.152035,4,31,0,28.3005,-0.74202,-0.418556,-0.136165,0.0857439,0.36668,0.282201,-1.99804,-1.21038,0.111401,4.24268,2.73694,4.3425
-28.041,0.997075,0.152035,4,15,0,29.2444,-0.716677,-0.377354,-0.296339,-0.173137,-0.157473,0.626953,-8.5019,-0.517549,1.74761,-3.6277,-2.71674,-4.20898
-29.5706,0.709799,0.152035,3,15,0,32.9022,-0.572666,-0.396346,-0.12226,-0.25715,-0.877584,2.13366,-9.80592,2.21772,3.33957,-11.5355,6.53055,-11.6335
-29.3701,0.998092,0.152035,5,31,0,31.6146,-0.67206,0.650918,-0.0514932,-1.03772,-1.89727,3.14061,-1.22775,0.277731,1.28003,2.40606,3.84519,0.00195672
-28.7661,0.936125,0.152035,4,19,0,30.3072,-0.82577,0.163679,-0.103421,-0.741125,1.49415,1.36935,3.90885,-1.96467,1.22735,-5.90651,5.08034,-7.21365
-28.2755,0.989148,0.152035,2,7,0,29.0399,-0.774071,0.155831,-0.113835,-0.640866,-0.76018,-0.628563,1.82094,-1.73211,0.952957,-2.03634,3.51777,-3.35938
-29.0073,0.979525,0.152035,5,31,0,30.806,-1.00173,-0.707165,-0.493423,0.0815358,1.25324,1.27026,4.86736,-2.25664,0.308994,-2.5029,-8.29549,-2.68131
-33.8138,0.857528,0.152035,4,31,0,36.8134,-0.109808,-0.0804148,-0.4802,-0.151656,4.75897,1.39549,5.39051,-0.953485,6.28103,14.1443,-17.6992,11.7664
-33.0483,0.993816,0.152035,4,15,0,36.8494,0.126778,-0.0456175,-0.238118,-0.139613,3.43728,1.69648,-11.821,0.791768,8.33241,13.1239,-7.00168,11.5677
-32.8543,1,0.152035,4,31,0,35.869,-2.03994,-0.0320547,-0.116431,-0.920088,5.76214,-0.488278,0.39579,-0.216305,-2.61313,-7.4635,7.12808,-8.33558
-29.9035,0.914874,0.152035,5,31,0,35.9931,-1.26731,-0.957409,-0.574716,0.32894,5.07459,0.718332,-6.61309,3.94275,-1.28792,-0.681843,-9.69195,-0.319609
