# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1099984735
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_null_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.2309,0.993477,0.605795,3,7,0,30.3831,-0.810437,-1.74023,-1.58659
-30.3553,0.978397,0.605795,2,3,0,30.5712,-0.876007,2.07236,-2.2039
-30.3666,0.977354,0.605795,2,5,0,30.8233,-0.421831,3.01387,2.35997
-30.2752,0.998562,0.605795,2,5,0,30.4297,-0.83637,-1.75285,-1.83263
-30.1018,0.984491,0.605795,1,3,0,30.5455,-0.656926,2.97084,-0.0821679
-30.204,0.978719,0.605795,1,3,0,30.4089,-0.507083,-2.01852,1.45748
-30.1073,0.995248,0.605795,1,3,0,30.2835,-0.614776,-1.87231,0.344335
-30.3943,0.954919,0.605795,1,3,0,30.735,-0.410411,-2.60325,2.48213
-30.4119,0.965296,0.605795,2,3,0,30.9549,-0.403426,-3.28662,2.55699
-30.1332,0.937213,0.605795,1,3,0,31.4391,-0.728511,-5.09657,-0.793615
-30.2165,0.962649,0.605795,1,3,0,30.7653,-0.498757,-3.30396,1.54484
-31.7703,0.91427,0.605795,2,7,0,31.7712,-0.0864367,0.128721,6.03596
-31.8603,0.990792,0.605795,1,1,0,31.995,-0.0717261,-1.63642,6.19987
-31.8683,0.999183,0.605795,1,1,0,32.0424,-0.0704458,-1.86123,6.21414
-32.0965,0.976799,0.605795,1,1,0,32.1976,-0.0348619,1.41827,6.61098
-30.306,0.961097,0.605795,3,7,0,33.5748,-0.852469,-8.0635,-1.98413
-32.7662,0.870739,0.605795,2,5,0,32.8169,-1.41155,1.00419,-6.60231
-30.7674,1,0.605795,2,3,0,32.6295,-1.02011,6.08597,-3.50293
-30.144,0.90405,0.605795,1,3,0,32.8343,-0.557278,-7.3152,0.934643
-30.4821,0.959351,0.605795,1,3,0,30.7025,-0.377395,2.09389,2.83685
-30.1341,0.982305,0.605795,3,7,0,31.0625,-0.729554,-4.29734,-0.80385
-30.2072,0.964078,0.605795,2,5,0,30.7349,-0.504902,-3.23973,1.48035
-30.1315,0.997014,0.605795,2,5,0,30.2783,-0.726256,-1.70872,-0.771463
-30.1306,0.999675,0.605795,2,5,0,30.1459,-0.573067,0.552757,0.771605
-30.1041,0.994212,0.605795,1,3,0,30.225,-0.671795,1.55076,-0.231305
-30.1421,0.995284,0.605795,2,5,0,30.1769,-0.738991,-0.831662,-0.896346
-30.1018,0.994782,0.605795,1,3,0,30.2301,-0.640096,-1.59707,0.0874791
-30.1162,0.998893,0.605795,2,5,0,30.1198,-0.703071,-0.267429,-0.542701
-30.1084,0.995076,0.605795,1,3,0,30.2053,-0.611586,-1.38778,0.376835
-30.1793,0.990812,0.605795,1,3,0,30.2331,-0.525195,1.0342,1.26805
-30.6926,0.941663,0.605795,1,3,0,30.9902,-0.311479,2.43291,3.55133
-30.7861,0.990628,0.605795,1,1,0,30.8139,-0.286135,-0.743425,3.82804
-30.8648,0.992075,0.605795,1,1,0,30.9053,-0.266133,-0.89749,4.04712
-30.1283,0.965889,0.605795,2,5,0,31.5474,-0.576096,5.31295,0.740411
-30.3752,0.940151,0.605795,3,7,0,31.4514,-0.418223,4.62674,2.39853
-30.3816,0.999375,0.605795,1,1,0,30.4056,-0.415597,-0.691896,2.42663
-30.2251,0.992942,0.605795,3,7,0,30.6473,-0.493328,-2.89789,1.6019
-30.2798,0.998232,0.605795,2,3,0,30.28,-0.462351,-0.0757021,1.92886
-30.2203,0.986073,0.605795,2,3,0,30.5088,-0.496348,2.39557,1.57015
-30.3129,0.988336,0.605795,3,7,0,30.5607,-0.44589,-2.21995,2.10355
-30.3698,0.994424,0.605795,1,1,0,30.3744,-0.420478,-0.302028,2.37442
-30.1901,1,0.605795,2,3,0,30.3723,-0.51698,-1.90353,1.35386
-30.3128,0.99186,0.605795,2,3,0,30.3378,-0.445937,0.704001,2.10305
-30.6883,0.975701,0.605795,2,3,0,30.7431,-0.312679,1.04404,3.53826
-30.35,0.984604,0.605795,3,7,0,31.2505,-0.428973,4.23207,2.28372
-30.2955,1,0.605795,1,1,0,30.3485,-0.45434,-1.02643,2.0138
-31.4905,0.863922,0.605795,2,3,0,32.2471,-0.13497,3.87947,5.49598
-30.4932,0.95632,0.605795,3,7,0,32.9867,-0.932039,-7.04249,-2.71863
-30.1436,0.987944,0.605795,1,3,0,30.7311,-0.740648,3.4185,-0.912555
-30.1049,0.999221,0.605795,3,7,0,30.1755,-0.622769,1.18517,0.263042
-30.1213,0.99425,0.605795,3,7,0,30.2314,-0.586262,-1.47977,0.635893
-30.1133,0.992335,0.605795,1,3,0,30.2549,-0.69746,-1.67802,-0.487068
-30.5007,0.975584,0.605795,2,5,0,30.5141,-0.934791,-0.515213,-2.7436
-30.4581,0.969208,0.605795,2,5,0,31.1527,-0.386003,3.71706,2.74416
-30.4893,0.996904,0.605795,1,1,0,30.5128,-0.374873,0.684792,2.86404
-30.4622,0.964483,0.605795,2,5,0,31.147,-0.9204,-3.69083,-2.6127
-30.3364,0.889488,0.605795,3,7,0,33.6512,-0.435018,-8.11991,2.21926
-30.4449,0.989364,0.605795,1,1,0,30.4453,-0.390856,-0.0903783,2.69196
-31.2552,0.950336,0.605795,2,5,0,31.3553,-1.14137,-1.41116,-4.53162
-31.8814,0.963106,0.605795,2,3,0,32.1786,-1.26581,-2.43124,-5.52358
-32.1152,0.983673,0.605795,1,1,0,32.1752,-1.30695,1.09254,-5.83724
-32.5217,0.97256,0.605795,1,1,0,32.5556,-1.37374,-0.821215,-6.33109
-30.719,1,0.605795,2,3,0,32.4016,-1.00605,5.78515,-3.37977
-30.736,0.998629,0.605795,1,1,0,30.7818,-1.01103,-0.955215,-3.42348
-30.531,0.987737,0.605795,3,7,0,31.3247,-0.945635,-3.9733,-2.84171
-31.586,0.901637,0.605795,2,5,0,32.6601,-0.11788,-4.6222,5.68595
-31.0513,1,0.605795,1,1,0,31.5315,-0.222623,3.09035,4.5256
-30.8246,0.911802,0.605795,2,3,0,32.5188,-0.276214,5.80501,3.93662
-30.1019,0.953471,0.605795,3,7,0,32.2301,-0.658493,-6.50627,-0.0979132
-30.1102,0.998938,0.605795,2,5,0,30.1181,-0.690409,-0.397667,-0.417017
-30.1459,0.997616,0.605795,2,3,0,30.1464,-0.743114,0.101969,-0.936664
-30.553,0.971575,0.605795,3,7,0,30.8744,-0.35348,-2.52827,3.09515
-30.3016,1,0.605795,3,7,0,30.5514,-0.850252,2.22923,-1.96332
