# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=1238074989
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2026/diagnostic_files/diag_file_age_nointeraction_soccr_study1_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,z_beta.2,p_gamma.1,p_z_beta.1,p_z_beta.2,g_gamma.1,g_z_beta.1,g_z_beta.2
-26.9429,0.99159,0.526251,3,7,0,28.9602,-1.12508,-0.533475,-0.281625,2.32238,-7.3075,-7.18581,-1.4272,-0.943894,-1.38414
-26.7682,0.999757,0.526251,3,7,0,27.0517,-1.0234,-0.46774,-0.202819,-1.37608,-1.96058,-2.28324,-1.25319,0.269793,1.09021
-27.0323,0.983653,0.526251,2,7,0,27.2235,-0.892986,-0.396078,-0.0955343,1.35615,1.45926,1.04403,-0.789151,1.58978,5.28825
-27.6947,0.798497,0.526251,2,3,0,30.4055,-0.3701,-0.461151,-0.154968,-5.41275,2.96844,4.60433,3.92319,-3.74055,3.037
-27.6164,0.999524,0.526251,3,7,0,28.1586,-0.948861,-0.277648,-0.112466,-2.41725,-0.11519,-2.48505,-1.98669,8.19653,3.2648
-27.0012,0.990146,0.526251,2,7,0,28.4664,-1.06518,-0.396412,-0.184112,0.879129,8.19285,4.8963,-2.10758,3.72011,1.17514
-27.9034,0.920212,0.526251,3,7,0,28.6519,-1.1332,-0.446033,-0.43409,-0.00391686,-6.90245,-0.468526,-1.60958,4.96087,-8.69755
-27.6493,0.995658,0.526251,3,7,0,28.8918,-0.826515,-0.330202,-0.0236867,-3.29544,4.09154,-3.11075,-0.641437,3.87609,8.33187
-27.292,0.929005,0.526251,3,7,0,29.1157,-0.504433,-0.428947,-0.291028,2.67044,-1.11754,9.19416,2.79704,0.72841,-4.38763
-27.4928,0.927615,0.526251,3,7,0,28.5288,-1.06851,-0.427431,-0.383409,-2.92317,3.48631,3.55184,-1.42559,4.77305,-7.17272
-31.3057,0.800702,0.526251,3,7,0,32.4488,-2.07002,-0.768332,-0.0939532,0.253751,-8.01802,2.98823,-5.01236,-1.8861,7.1632
-32.6508,0.952352,0.526251,2,3,0,33.1949,-2.06228,-0.841598,0.0246768,1.10617,-3.0547,4.525,-3.84107,-5.30419,11.6682
-29.105,0.988168,0.526251,3,7,0,33.3765,-0.504815,-0.349513,-0.454758,1.10822,1.57018,16.6992,2.97339,7.75602,-13.3882
-27.7377,1,0.526251,2,3,0,29.6316,-0.613401,-0.492077,-0.407559,-1.95748,-8.72797,5.23686,2.35274,0.259452,-8.41796
-27.7612,0.99478,0.526251,3,7,0,28.5914,-1.33815,-0.673432,-0.236971,-2.67847,0.549444,4.28451,-1.68509,-5.41931,2.10012
-27.4396,1,0.526251,3,7,0,27.9853,-1.23429,-0.587915,-0.376261,1.8966,3.96946,-1.21803,-1.63481,-1.19217,-4.24523
-27.5261,0.964993,0.526251,3,7,0,28.4801,-1.09273,-0.573797,-0.097898,-1.47603,-2.73336,-6.71531,-0.866374,-5.04911,6.83124
-27.9243,0.979428,0.526251,3,7,0,28.5191,-1.02078,-0.674712,-0.148589,0.762334,-3.66266,-4.78735,0.47314,-9.37639,5.85999
